enemy_id,event_id,mode,enemy_point,initial_position,order
610010501,10010,1,0,100,0
610010502,10010,1,0,250,0
610010503,10010,1,0,450,0
610010601,10010,2,6,440,4
610010602,10010,2,3,300,3
610010603,10010,2,1,140,2
610010605,10010,2,1,20,1
610012501,10012,1,0,80,0
610012502,10012,1,0,180,0
610012503,10012,1,0,280,0
610012504,10012,1,0,380,0
610013501,10013,1,0,-500,0
610013502,10013,1,0,-400,0
610013503,10013,1,0,-300,0
610015501,10015,1,0,0,0
610015502,10015,1,0,10,0
610015503,10015,1,0,20,0
610017501,10017,1,0,-180,0
610017502,10017,1,0,-80,0
610021501,10021,2,1,20,1
610021502,10021,2,1,140,2
610021503,10021,2,1,300,3
610025501,10025,1,0,-120,0
610025502,10025,1,0,-10,0
610025503,10025,1,0,30,0
610027502,10027,1,0,-220,0
610027503,10027,1,0,10,0
610027504,10027,1,0,800,0
610027505,10027,1,0,100,0
610029501,10029,1,0,-120,0
610029502,10029,1,0,-10,0
610029503,10029,1,0,30,0
610031501,10031,1,0,-120,0
610031502,10031,1,0,-40,0
610031503,10031,1,0,10,0
610031504,10031,1,0,50,0
610033501,10033,1,0,-120,0
610033502,10033,1,0,-10,0
610033503,10033,1,0,30,0
