unit_id,sp_motion
100101,1
100201,1
100301,1
100401,1
100501,1
100601,1
100701,1
100801,1
100901,1
101001,1
101101,1
101201,1
101301,1
101401,1
101501,1
101601,1
101701,1
101801,1
102001,1
102101,1
102201,1
102301,1
102501,1
102601,1
102701,1
102801,1
102901,1
103001,1
103101,1
103201,1
103301,1
103401,1
103601,1
103701,1
103801,1
104001,1
104201,1
104301,1
104401,1
104501,1
104601,1
104701,1
104801,1
104901,1
105001,1
105101,1
105201,1
105301,1
105401,1
105501,1
105601,1
105701,1
105801,1
105901,1
106001,1
106101,1
106301,1
106501,1
107001,1
107101,1
107501,1
107601,1
107701,1
107801,1
107901,1
108001,1
108101,1
108201,1
108301,1
108401,1
108501,1
108601,1
108701,1
108801,1
108901,1
109001,1
109101,1
109201,1
109301,1
109401,1
109501,1
109601,1
109701,1
109801,1
109901,1
110001,1
110101,1
110301,1
110401,1
110501,1
110601,1
110701,1
110801,1
111101,1
111201,1
111301,1
111401,1
111501,1
111601,1
111701,1
111901,1
112001,1
112101,1
112201,1
112301,1
180401,1
