id,pos_x,pos_y,scale
100101,-354.0,938.0,1.6
100201,-499.0,952.0,1.6
100301,-523.0,1014.0,1.6
100401,-488.0,894.0,1.6
100601,-628.0,980.0,1.6
100701,-573.0,983.0,1.6
100801,-544.0,1019.0,1.6
100901,-510.0,985.0,1.6
101001,-660.0,1115.0,1.6
101101,-415.0,1128.0,1.6
101201,-589.0,1042.0,1.6
101601,-501.0,1050.0,1.6
101701,-598.0,1038.0,1.6
101801,-356.0,985.0,1.6
102001,-494.0,1114.0,1.6
102101,-392.0,1003.0,1.6
102201,-407.0,1057.0,1.6
102501,-388.0,997.0,1.6
102701,-490.0,1090.0,1.6
102801,-554.0,987.0,1.6
102901,-526.0,976.0,1.6
103001,-879.0,994.0,1.6
103101,-560.0,1056.0,1.6
103301,-453.0,1018.0,1.6
103401,-345.0,1017.0,1.6
103801,-674.0,961.0,1.6
104001,-499.0,1095.0,1.6
104201,-521.0,955.0,1.6
104301,-581.0,1079.0,1.6
104501,-538.0,980.0,1.6
104601,-364.0,954.0,1.6
104801,-777.0,1107.0,1.6
104901,-795.0,973.0,1.6
105001,-492.0,1122.0,1.6
105201,-607.0,1035.0,1.6
105301,-490.0,885.0,1.6
